EG-Convictions 	 crime-org 	 CRITERION-C1 	 005eb9ed-1347-4ca3-bb29-9bc0db64e1ab
EG-Convictions 	 crime-org 	 SUBCRITERION 	 e6b21867-95b5-4549-8180-f4673219b179
EG-Convictions 	 crime-org 	 QUESTION_GROUP 	 8c39b505-8abe-44fa-a3e0-f2d78b9d8224
EG-Convictions 	 crime-org 	 LEGISLATION 	 c753a2c5-59e6-4970-b6eb-27224e96bf76
EG-Convictions 	 crime-org 	 QUESTION_GROUP 	 7c637c0c-7703-4389-ba52-02997a055bd7
EG-Convictions 	 crime-org 	 QUESTION_SUBGROUP 	 f5276600-a2b6-4ff6-a90e-b31fe19dae41
EG-Convictions 	 crime-org 	 QUESTION_SUBGROUP 	 5f9f09f7-f701-432c-9fdc-c22c124a74c9
EG-Convictions 	 crime-org 	 QUESTION_SUBGROUP 	 74e6c7b4-757b-4b40-ada6-fad6a997c310
EG-Convictions 	 crime-org 	 QUESTION_SUBGROUP 	 7458d42a-e581-4640-9283-34ceb3ad4345
EG-Convictions 	 crime-org 	 QUESTION_SUBGROUP 	 41dd2e9b-1bfd-44c7-93ee-56bd74a4334b
EG-Convictions 	 corruption 	 CRITERION-C2 	 c27b7c4e-c837-4529-b867-ed55ce639db5
EG-Convictions 	 corruption 	 SUBCRITERION 	 e6b21867-95b5-4549-8180-f4673219b179
EG-Convictions 	 corruption 	 QUESTION_GROUP 	 8c39b505-8abe-44fa-a3e0-f2d78b9d8224
EG-Convictions 	 corruption 	 LEGISLATION 	 fc6fa0b1-dbc6-47d4-9a20-2336c2eaa6db
EG-Convictions 	 corruption 	 QUESTION_GROUP 	 7c637c0c-7703-4389-ba52-02997a055bd7
EG-Convictions 	 corruption 	 QUESTION_SUBGROUP 	 f5276600-a2b6-4ff6-a90e-b31fe19dae41
EG-Convictions 	 corruption 	 QUESTION_SUBGROUP 	 5f9f09f7-f701-432c-9fdc-c22c124a74c9
EG-Convictions 	 corruption 	 QUESTION_SUBGROUP 	 74e6c7b4-757b-4b40-ada6-fad6a997c310
EG-Convictions 	 corruption 	 QUESTION_SUBGROUP 	 7458d42a-e581-4640-9283-34ceb3ad4345
EG-Convictions 	 corruption 	 QUESTION_SUBGROUP 	 41dd2e9b-1bfd-44c7-93ee-56bd74a4334b
EG-Convictions 	 fraud 	 CRITERION-C3 	 297d2323-3ede-424e-94bc-a91561e6f320
EG-Convictions 	 fraud 	 SUBCRITERION 	 e6b21867-95b5-4549-8180-f4673219b179
EG-Convictions 	 fraud 	 QUESTION_GROUP 	 8c39b505-8abe-44fa-a3e0-f2d78b9d8224
EG-Convictions 	 fraud 	 LEGISLATION 	 3eff8640-ddcf-4a29-b320-e1f22b08571d
EG-Convictions 	 fraud 	 QUESTION_GROUP 	 7c637c0c-7703-4389-ba52-02997a055bd7
EG-Convictions 	 fraud 	 QUESTION_SUBGROUP 	 f5276600-a2b6-4ff6-a90e-b31fe19dae41
EG-Convictions 	 fraud 	 QUESTION_SUBGROUP 	 5f9f09f7-f701-432c-9fdc-c22c124a74c9
EG-Convictions 	 fraud 	 QUESTION_SUBGROUP 	 74e6c7b4-757b-4b40-ada6-fad6a997c310
EG-Convictions 	 fraud 	 QUESTION_SUBGROUP 	 7458d42a-e581-4640-9283-34ceb3ad4345
